consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
electricity,15116.0,2003, TJ,6641.0,LBN
electricity,15116.0,2003, TJ,76.0,LBN
electricity,158.0,2003, TJ,6641.0,LBN
electricity,158.0,2003, TJ,76.0,LBN
oil_products,15077.0,2003, TJ,,LBN
solid_biomass,4686.0,2003, TJ,,LBN
electricity,13446.0,2003, TJ,7207.0,LBY
oil_products,39226.0,2003, TJ,,LBY
solid_biomass,9178.0,2003, TJ,,LBY
Heat,52153.0,2003, TJ,530185.0,LIE
coal,85.0,2003, TJ,695595.0,LIE
electricity,1634.0,2003, TJ,1045466.0,LIE
electricity,1634.0,2003, TJ,3055.0,LIE
electricity,7022.0,2003, TJ,1045466.0,LIE
electricity,7022.0,2003, TJ,3055.0,LIE
natural_gas,824838.0,2003, TJ,772355.0,LIE
oil_products,49.0,2003, TJ,964386.0,LIE
solid_biomass,1517569.0,2003, TJ,404587.0,LIE
Heat,22777.0,2003, TJ,7800.0,LTU
coal,1409.0,2003, TJ,1839.0,LTU
electricity,6904.0,2003, TJ,8549.0,LTU
natural_gas,4919.0,2003, TJ,1674.0,LTU
oil_products,2989.0,2003, TJ,416.0,LTU
solid_biomass,22311.0,2003, TJ,1441.0,LTU
Heat,,2003, TJ,2446.0,LUX
coal,29.0,2003, TJ,,LUX
electricity,2960.0,2003, TJ,6093.0,LUX
electricity,5.0,2003, TJ,6093.0,LUX
natural_gas,7870.0,2003, TJ,5252.0,LUX
oil_products,9501.0,2003, TJ,2652.0,LUX
solid_biomass,644.0,2003, TJ,28.0,LUX
electricity,1044.0,2003, TJ,212.0,MDG
oil_products,182.0,2003, TJ,,MDG
solid_biomass,77048.0,2003, TJ,37458.0,MDG
electricity,52264.0,2003, TJ,76107.0,MYS
natural_gas,207.0,2003, TJ,765.0,MYS
oil_products,26648.0,2003, TJ,28190.0,MYS
solid_biomass,11765.0,2003, TJ,,MYS
Heat,,2003, TJ,,MLT
electricity,2264.0,2003, TJ,2235.0,MLT
electricity,,2003, TJ,2235.0,MLT
oil_products,1427.0,2003, TJ,,MLT
solid_biomass,,2003, TJ,,MLT
electricity,2034.0,2003, TJ,1724.0,MUS
oil_products,2289.0,2003, TJ,283.0,MUS
solid_biomass,250.0,2003, TJ,,MUS
electricity,143499.0,2003, TJ,68245.0,MEX
electricity,143499.0,2003, TJ,1072.0,MEX
electricity,1591.0,2003, TJ,68245.0,MEX
electricity,1591.0,2003, TJ,1072.0,MEX
natural_gas,25786.0,2003, TJ,5918.0,MEX
oil_products,317659.0,2003, TJ,46361.0,MEX
solid_biomass,267028.0,2003, TJ,,MEX
Heat,3708.0,2003, TJ,551.0,MDA
coal,1690.0,2003, TJ,2173.0,MDA
electricity,6267.0,2003, TJ,3700.0,MDA
natural_gas,9115.0,2003, TJ,2118.0,MDA
oil_products,4960.0,2003, TJ,40.0,MDA
solid_biomass,,2003, TJ,,MDA
Heat,11628.0,2003, TJ,4328.0,MNG
coal,5890.0,2003, TJ,806.0,MNG
electricity,1893.0,2003, TJ,,MNG
solid_biomass,1775.0,2003, TJ,,MNG
coal,,2003, TJ,,MNE
electricity,,2003, TJ,,MNE
electricity,,2003, TJ,,MNE
oil_products,,2003, TJ,,MNE
solid_biomass,,2003, TJ,,MNE
electricity,16747.0,2003, TJ,8229.0,MAR
electricity,16747.0,2003, TJ,,MAR
electricity,,2003, TJ,8229.0,MAR
electricity,,2003, TJ,,MAR
oil_products,54463.0,2003, TJ,2648.0,MAR
solid_biomass,24009.0,2003, TJ,24586.0,MAR
electricity,1483.0,2003, TJ,572.0,MOZ
natural_gas,0.0,2003, TJ,1.0,MOZ
oil_products,2032.0,2003, TJ,562.0,MOZ
solid_biomass,256484.0,2003, TJ,,MOZ
coal,,2003, TJ,,MMR
electricity,5803.0,2003, TJ,2080.0,MMR
natural_gas,,2003, TJ,,MMR
oil_products,327.0,2003, TJ,,MMR
solid_biomass,392882.0,2003, TJ,,MMR
electricity,,2003, TJ,,NAM
oil_products,175.0,2003, TJ,125.0,NAM
solid_biomass,7704.0,2003, TJ,,NAM
coal,25.0,2003, TJ,,NPL
electricity,2437.0,2003, TJ,388.0,NPL
electricity,2437.0,2003, TJ,,NPL
electricity,,2003, TJ,388.0,NPL
electricity,,2003, TJ,,NPL
oil_products,12993.0,2003, TJ,3337.0,NPL
solid_biomass,313268.0,2003, TJ,1925.0,NPL
coal,782.0,2003, TJ,1727.0,NZL
electricity,606.0,2003, TJ,3175.0,NZL
electricity,606.0,2003, TJ,25980.0,NZL
electricity,43734.0,2003, TJ,3175.0,NZL
electricity,43734.0,2003, TJ,25980.0,NZL
natural_gas,6260.0,2003, TJ,6427.0,NZL
oil_products,2328.0,2003, TJ,5352.0,NZL
solid_biomass,6992.0,2003, TJ,162.0,NZL
electricity,1911.0,2003, TJ,2332.0,NIC
oil_products,1424.0,2003, TJ,3537.0,NIC
solid_biomass,34635.0,2003, TJ,1685.0,NIC
coal,20.0,2003, TJ,,NER
electricity,601.0,2003, TJ,205.0,NER
oil_products,529.0,2003, TJ,,NER
solid_biomass,55700.0,2003, TJ,,NER
electricity,27608.0,2003, TJ,12736.0,NGA
natural_gas,0.0,2003, TJ,,NGA
oil_products,49786.0,2003, TJ,276.0,NGA
solid_biomass,590854.0,2003, TJ,50378.0,NGA
Heat,1852.0,2003, TJ,887.0,MKD
coal,216.0,2003, TJ,239.0,MKD
electricity,10443.0,2003, TJ,100.0,MKD
electricity,10443.0,2003, TJ,3556.0,MKD
electricity,,2003, TJ,100.0,MKD
electricity,,2003, TJ,3556.0,MKD
natural_gas,,2003, TJ,,MKD
oil_products,1603.0,2003, TJ,5538.0,MKD
solid_biomass,6526.0,2003, TJ,311.0,MKD
Heat,1349.0,2003, TJ,5529.0,NOR
coal,85.0,2003, TJ,,NOR
electricity,115282.0,2003, TJ,74998.0,NOR
natural_gas,84.0,2003, TJ,186.0,NOR
oil_products,14601.0,2003, TJ,13604.0,NOR
solid_biomass,28177.0,2003, TJ,950.0,NOR
electricity,16678.0,2003, TJ,9990.0,OMN
natural_gas,,2003, TJ,,OMN
oil_products,2270.0,2003, TJ,,OMN
coal,22.0,2003, TJ,,PAK
electricity,93045.0,2003, TJ,27360.0,PAK
natural_gas,144455.0,2003, TJ,22520.0,PAK
oil_products,22765.0,2003, TJ,8043.0,PAK
solid_biomass,954260.0,2003, TJ,,PAK
electricity,4827.0,2003, TJ,9478.0,PAN
oil_products,4796.0,2003, TJ,1593.0,PAN
solid_biomass,7129.0,2003, TJ,30.0,PAN
electricity,9367.0,2003, TJ,2372.0,PRY
oil_products,2884.0,2003, TJ,,PRY
solid_biomass,45589.0,2003, TJ,151.0,PRY
coal,,2003, TJ,,PER
electricity,2317.0,2003, TJ,6336.0,PER
electricity,2317.0,2003, TJ,,PER
electricity,21232.0,2003, TJ,6336.0,PER
electricity,21232.0,2003, TJ,,PER
natural_gas,2.0,2003, TJ,,PER
oil_products,41529.0,2003, TJ,2127.0,PER
solid_biomass,105002.0,2003, TJ,2267.0,PER
electricity,55285.0,2003, TJ,39981.0,PHL
oil_products,53592.0,2003, TJ,27134.0,PHL
solid_biomass,197372.0,2003, TJ,12297.0,PHL
Heat,199999.0,2003, TJ,29149.0,POL
coal,217514.0,2003, TJ,29739.0,POL
electricity,241.0,2003, TJ,71.0,POL
electricity,241.0,2003, TJ,107611.0,POL
electricity,89467.0,2003, TJ,71.0,POL
electricity,89467.0,2003, TJ,107611.0,POL
natural_gas,127629.0,2003, TJ,67057.0,POL
oil_products,48091.0,2003, TJ,23896.0,POL
solid_biomass,103075.0,2003, TJ,6537.0,POL
Heat,54.0,2003, TJ,468.0,PRT
coal,,2003, TJ,,PRT
electricity,512.0,2003, TJ,380.0,PRT
electricity,512.0,2003, TJ,47465.0,PRT
electricity,42605.0,2003, TJ,380.0,PRT
electricity,42605.0,2003, TJ,47465.0,PRT
natural_gas,6615.0,2003, TJ,4921.0,PRT
oil_products,32235.0,2003, TJ,23976.0,PRT
solid_biomass,48149.0,2003, TJ,,PRT
electricity,7642.0,2003, TJ,5947.0,QAT
oil_products,2256.0,2003, TJ,,QAT
solid_biomass,106.0,2003, TJ,,QAT
Heat,79392.0,2003, TJ,3793.0,ROU
coal,660.0,2003, TJ,116.0,ROU
electricity,273.0,2003, TJ,418.0,ROU
electricity,273.0,2003, TJ,17096.0,ROU
electricity,29674.0,2003, TJ,418.0,ROU
electricity,29674.0,2003, TJ,17096.0,ROU
natural_gas,107231.0,2003, TJ,19351.0,ROU
oil_products,18304.0,2003, TJ,7285.0,ROU
solid_biomass,91822.0,2003, TJ,11.0,ROU
Heat,2929626.0,2003, TJ,433514.0,RUS
coal,233434.0,2003, TJ,14117.0,RUS
electricity,512114.0,2003, TJ,238136.0,RUS
natural_gas,1904610.0,2003, TJ,104990.0,RUS
oil_products,156259.0,2003, TJ,46368.0,RUS
solid_biomass,76335.0,2003, TJ,840.0,RUS
electricity,158.0,2003, TJ,460.0,RWA
oil_products,749.0,2003, TJ,462.0,RWA
solid_biomass,88867.0,2003, TJ,,RWA
electricity,253342.0,2003, TJ,128782.0,SAU
oil_products,56042.0,2003, TJ,,SAU
solid_biomass,218.0,2003, TJ,,SAU
electricity,2084.0,2003, TJ,932.0,SEN
oil_products,6264.0,2003, TJ,141.0,SEN
solid_biomass,29325.0,2003, TJ,,SEN
Heat,13599.0,2003, TJ,,SRB
coal,20562.0,2003, TJ,,SRB
electricity,58679.0,2003, TJ,1126.0,SRB
electricity,58679.0,2003, TJ,,SRB
natural_gas,8204.0,2003, TJ,,SRB
oil_products,1505.0,2003, TJ,,SRB
solid_biomass,33599.0,2003, TJ,,SRB
electricity,23425.0,2003, TJ,41104.0,SGP
natural_gas,1927.0,2003, TJ,,SGP
oil_products,2175.0,2003, TJ,3452.0,SGP
Heat,28593.0,2003, TJ,7557.0,SVK
coal,3441.0,2003, TJ,1494.0,SVK
electricity,18140.0,2003, TJ,23295.0,SVK
electricity,18140.0,2003, TJ,29.0,SVK
electricity,,2003, TJ,23295.0,SVK
electricity,,2003, TJ,29.0,SVK
natural_gas,67377.0,2003, TJ,19698.0,SVK
oil_products,413.0,2003, TJ,2152.0,SVK
solid_biomass,921.0,2003, TJ,218.0,SVK
Heat,4185.0,2003, TJ,1317.0,SVN
coal,173.0,2003, TJ,,SVN
electricity,196.0,2003, TJ,8179.0,SVN
electricity,196.0,2003, TJ,,SVN
electricity,10828.0,2003, TJ,8179.0,SVN
electricity,10828.0,2003, TJ,,SVN
natural_gas,3611.0,2003, TJ,1989.0,SVN
oil_products,19936.0,2003, TJ,9471.0,SVN
solid_biomass,19723.0,2003, TJ,75.0,SVN
coal,102584.0,2003, TJ,52134.0,ZAF
electricity,122669.0,2003, TJ,75855.0,ZAF
natural_gas,,2003, TJ,,ZAF
oil_products,37725.0,2003, TJ,4974.0,ZAF
solid_biomass,88660.0,2003, TJ,,ZAF
electricity,,2003, TJ,,SSD
oil_products,,2003, TJ,,SSD
solid_biomass,,2003, TJ,,SSD
coal,7739.0,2003, TJ,530.0,ESP
electricity,1360.0,2003, TJ,527.0,ESP
electricity,1360.0,2003, TJ,206035.0,ESP
electricity,195246.0,2003, TJ,527.0,ESP
electricity,195246.0,2003, TJ,206035.0,ESP
natural_gas,123112.0,2003, TJ,1682.0,ESP
oil_products,170281.0,2003, TJ,82141.0,ESP
solid_biomass,83537.0,2003, TJ,2368.0,ESP
electricity,7181.0,2003, TJ,4050.0,LKA
oil_products,4615.0,2003, TJ,1642.0,LKA
solid_biomass,124672.0,2003, TJ,5096.0,LKA
electricity,5140.0,2003, TJ,1958.0,SDN
oil_products,5103.0,2003, TJ,425.0,SDN
solid_biomass,190418.0,2003, TJ,31064.0,SDN
electricity,1191.0,2003, TJ,817.0,SUR
oil_products,567.0,2003, TJ,226.0,SUR
solid_biomass,943.0,2003, TJ,3.0,SUR
Heat,100825.0,2003, TJ,53026.0,SWE
coal,1260.0,2003, TJ,144.0,SWE
electricity,178.0,2003, TJ,98146.0,SWE
electricity,151192.0,2003, TJ,98146.0,SWE
natural_gas,1632.0,2003, TJ,3610.0,SWE
oil_products,29554.0,2003, TJ,44246.0,SWE
solid_biomass,24250.0,2003, TJ,1000.0,SWE
Heat,6515.0,2003, TJ,4577.0,CHE
coal,275.0,2003, TJ,,CHE
electricity,535.0,2003, TJ,124.0,CHE
electricity,535.0,2003, TJ,57480.0,CHE
electricity,60040.0,2003, TJ,124.0,CHE
electricity,60040.0,2003, TJ,57480.0,CHE
natural_gas,38582.0,2003, TJ,21746.0,CHE
oil_products,123965.0,2003, TJ,52483.0,CHE
solid_biomass,14219.0,2003, TJ,9913.0,CHE
electricity,31982.0,2003, TJ,5270.0,SYR
oil_products,39881.0,2003, TJ,10565.0,SYR
Heat,,2003, TJ,,TJK
coal,,2003, TJ,,TJK
electricity,10846.0,2003, TJ,1061.0,TJK
electricity,3938.0,2003, TJ,2026.0,TZA
natural_gas,,2003, TJ,,TZA
oil_products,5974.0,2003, TJ,,TZA
solid_biomass,428182.0,2003, TJ,,TZA
electricity,84596.0,2003, TJ,121316.0,THA
electricity,84596.0,2003, TJ,,THA
natural_gas,,2003, TJ,,THA
oil_products,44307.0,2003, TJ,30070.0,THA
solid_biomass,223209.0,2003, TJ,,THA
Heat,8854.0,2003, TJ,13575.0,NLD
coal,78.0,2003, TJ,40.0,NLD
electricity,499.0,2003, TJ,125.0,NLD
electricity,499.0,2003, TJ,114534.0,NLD
electricity,77104.0,2003, TJ,125.0,NLD
electricity,77104.0,2003, TJ,114534.0,NLD
natural_gas,374183.0,2003, TJ,146867.0,NLD
oil_products,2378.0,2003, TJ,8746.0,NLD
solid_biomass,14186.0,2003, TJ,5168.0,NLD
electricity,982.0,2003, TJ,262.0,TGO
oil_products,2766.0,2003, TJ,,TGO
solid_biomass,37998.0,2003, TJ,5281.0,TGO
electricity,5435.0,2003, TJ,2293.0,TTO
natural_gas,4708.0,2003, TJ,,TTO
oil_products,2931.0,2003, TJ,,TTO
solid_biomass,553.0,2003, TJ,,TTO
electricity,9849.0,2003, TJ,7524.0,TUN
electricity,9849.0,2003, TJ,,TUN
electricity,,2003, TJ,7524.0,TUN
electricity,,2003, TJ,,TUN
natural_gas,6132.0,2003, TJ,1838.0,TUN
oil_products,21480.0,2003, TJ,13066.0,TUN
solid_biomass,34993.0,2003, TJ,,TUN
electricity,4683.0,2003, TJ,,TKM
natural_gas,,2003, TJ,160060.0,TKM
oil_products,,2003, TJ,,TKM
solid_biomass,372.0,2003, TJ,,TKM
coal,75420.0,2003, TJ,8917.0,TUR
electricity,90702.0,2003, TJ,97567.0,TUR
electricity,42488.0,2003, TJ,97567.0,TUR
natural_gas,156059.0,2003, TJ,51743.0,TUR
oil_products,116295.0,2003, TJ,,TUR
solid_biomass,240622.0,2003, TJ,,TUR
electricity,1029.0,2003, TJ,158.0,UGA
oil_products,1048.0,2003, TJ,562.0,UGA
solid_biomass,241132.0,2003, TJ,25145.0,UGA
Heat,247749.0,2003, TJ,,UKR
coal,64315.0,2003, TJ,,UKR
electricity,83178.0,2003, TJ,60739.0,UKR
natural_gas,561395.0,2003, TJ,35307.0,UKR
oil_products,22629.0,2003, TJ,,UKR
solid_biomass,646.0,2003, TJ,,UKR
electricity,51130.0,2003, TJ,79524.0,ARE
oil_products,1939.0,2003, TJ,,ARE
Heat,454.0,2003, TJ,27124.0,GBR
coal,48273.0,2003, TJ,551.0,GBR
electricity,442803.0,2003, TJ,330199.0,GBR
electricity,442803.0,2003, TJ,33.0,GBR
electricity,,2003, TJ,330199.0,GBR
electricity,,2003, TJ,33.0,GBR
natural_gas,1252214.0,2003, TJ,271832.0,GBR
oil_products,119533.0,2003, TJ,28282.0,GBR
solid_biomass,7856.0,2003, TJ,4524.0,GBR
Heat,,2003, TJ,42057.0,USA
coal,,2003, TJ,83116.0,USA
electricity,4592955.0,2003, TJ,4315420.0,USA
electricity,4592955.0,2003, TJ,12661.0,USA
electricity,67719.0,2003, TJ,4315420.0,USA
electricity,67719.0,2003, TJ,12661.0,USA
natural_gas,4982470.0,2003, TJ,3081321.0,USA
oil_products,1301337.0,2003, TJ,719275.0,USA
solid_biomass,410961.0,2003, TJ,87209.0,USA
coal,215.0,2003, TJ,105.0,URY
electricity,9396.0,2003, TJ,6192.0,URY
natural_gas,222.0,2003, TJ,104.0,URY
oil_products,5505.0,2003, TJ,1571.0,URY
solid_biomass,12663.0,2003, TJ,130.0,URY
Heat,,2003, TJ,,UZB
coal,424.0,2003, TJ,,UZB
electricity,15019.0,2003, TJ,5450.0,UZB
natural_gas,653699.0,2003, TJ,130747.0,UZB
oil_products,10988.0,2003, TJ,,UZB
electricity,59806.0,2003, TJ,63777.0,VEN
natural_gas,32115.0,2003, TJ,10586.0,VEN
oil_products,33701.0,2003, TJ,1809.0,VEN
solid_biomass,11845.0,2003, TJ,2884.0,VEN
coal,29284.0,2003, TJ,13880.0,VNM
electricity,57567.0,2003, TJ,5486.0,VNM
electricity,,2003, TJ,5486.0,VNM
oil_products,20465.0,2003, TJ,31092.0,VNM
solid_biomass,458822.0,2003, TJ,,VNM
electricity,7023.0,2003, TJ,989.0,YEM
oil_products,32167.0,2003, TJ,,YEM
electricity,5004.0,2003, TJ,2199.0,ZMB
oil_products,742.0,2003, TJ,1327.0,ZMB
solid_biomass,152403.0,2003, TJ,,ZMB
coal,26.0,2003, TJ,4400.0,ZWE
electricity,9820.0,2003, TJ,5223.0,ZWE
oil_products,1843.0,2003, TJ,,ZWE
solid_biomass,79819.0,2003, TJ,,ZWE
Heat,,2004, TJ,,ALB
coal,,2004, TJ,206.0,ALB
electricity,10047.0,2004, TJ,6030.0,ALB
electricity,10047.0,2004, TJ,16.0,ALB
electricity,40.0,2004, TJ,6030.0,ALB
electricity,40.0,2004, TJ,16.0,ALB
natural_gas,,2004, TJ,,ALB
oil_products,4071.0,2004, TJ,1349.0,ALB
solid_biomass,8666.0,2004, TJ,502.0,ALB
electricity,53827.0,2004, TJ,,DZA
natural_gas,115907.0,2004, TJ,,DZA
oil_products,79379.0,2004, TJ,,DZA
solid_biomass,824.0,2004, TJ,,DZA
electricity,3833.0,2004, TJ,,AGO
oil_products,7291.0,2004, TJ,10753.0,AGO
solid_biomass,161404.0,2004, TJ,,AGO
electricity,81036.0,2004, TJ,74509.0,ARG
natural_gas,256132.0,2004, TJ,51718.0,ARG
oil_products,56467.0,2004, TJ,12858.0,ARG
solid_biomass,12541.0,2004, TJ,5822.0,ARG
Heat,464.0,2004, TJ,,ARM
coal,,2004, TJ,,ARM
electricity,5918.0,2004, TJ,1159.0,ARM
electricity,5918.0,2004, TJ,,ARM
electricity,,2004, TJ,1159.0,ARM
electricity,,2004, TJ,,ARM
natural_gas,10963.0,2004, TJ,576.0,ARM
oil_products,,2004, TJ,,ARM
solid_biomass,,2004, TJ,,ARM
Heat,,2004, TJ,,AUS
coal,834.0,2004, TJ,2818.0,AUS
electricity,199879.0,2004, TJ,196333.0,AUS
electricity,199879.0,2004, TJ,156.0,AUS
electricity,2460.0,2004, TJ,196333.0,AUS
electricity,2460.0,2004, TJ,156.0,AUS
natural_gas,112808.0,2004, TJ,39905.0,AUS
oil_products,13644.0,2004, TJ,20713.0,AUS
solid_biomass,66439.0,2004, TJ,658.0,AUS
Heat,25486.0,2004, TJ,19410.0,AUT
coal,5416.0,2004, TJ,851.0,AUT
electricity,61628.0,2004, TJ,38473.0,AUT
electricity,61628.0,2004, TJ,1683.0,AUT
electricity,2079.0,2004, TJ,38473.0,AUT
electricity,2079.0,2004, TJ,1683.0,AUT
natural_gas,51194.0,2004, TJ,42764.0,AUT
oil_products,66028.0,2004, TJ,24212.0,AUT
solid_biomass,56887.0,2004, TJ,4254.0,AUT
Heat,,2004, TJ,2592.0,AZE
electricity,42854.0,2004, TJ,5291.0,AZE
natural_gas,94467.0,2004, TJ,561.0,AZE
oil_products,3254.0,2004, TJ,1462.0,AZE
solid_biomass,404.0,2004, TJ,89.0,AZE
electricity,28835.0,2004, TJ,5421.0,BGD
natural_gas,48307.0,2004, TJ,4491.0,BGD
oil_products,32088.0,2004, TJ,,BGD
solid_biomass,334710.0,2004, TJ,,BGD
Heat,333.0,2004, TJ,2513.0,BEL
coal,4747.0,2004, TJ,,BEL
electricity,69500.0,2004, TJ,71362.0,BEL
electricity,69500.0,2004, TJ,13.0,BEL
electricity,98.0,2004, TJ,71362.0,BEL
electricity,98.0,2004, TJ,13.0,BEL
natural_gas,148258.0,2004, TJ,67534.0,BEL
oil_products,153277.0,2004, TJ,53453.0,BEL
solid_biomass,8146.0,2004, TJ,200.0,BEL
electricity,809.0,2004, TJ,774.0,BEN
oil_products,11507.0,2004, TJ,,BEN
solid_biomass,45402.0,2004, TJ,9086.0,BEN
electricity,5580.0,2004, TJ,3250.0,BOL
natural_gas,576.0,2004, TJ,528.0,BOL
oil_products,15337.0,2004, TJ,405.0,BOL
solid_biomass,7840.0,2004, TJ,,BOL
Heat,,2004, TJ,,BIH
coal,,2004, TJ,,BIH
electricity,13877.0,2004, TJ,4150.0,BIH
natural_gas,1562.0,2004, TJ,223.0,BIH
oil_products,,2004, TJ,,BIH
solid_biomass,7622.0,2004, TJ,,BIH
coal,,2004, TJ,188.0,BWA
electricity,1760.0,2004, TJ,2001.0,BWA
electricity,1760.0,2004, TJ,,BWA
electricity,6.0,2004, TJ,2001.0,BWA
electricity,6.0,2004, TJ,,BWA
oil_products,1238.0,2004, TJ,570.0,BWA
solid_biomass,21083.0,2004, TJ,,BWA
electricity,282877.0,2004, TJ,288626.0,BRA
electricity,282877.0,2004, TJ,678.0,BRA
electricity,5363.0,2004, TJ,288626.0,BRA
electricity,5363.0,2004, TJ,678.0,BRA
natural_gas,7589.0,2004, TJ,11015.0,BRA
oil_products,244595.0,2004, TJ,48971.0,BRA
solid_biomass,359096.0,2004, TJ,5743.0,BRA
electricity,1702.0,2004, TJ,7203.0,BRN
natural_gas,,2004, TJ,,BRN
oil_products,749.0,2004, TJ,,BRN
Heat,17746.0,2004, TJ,5183.0,BGR
coal,10822.0,2004, TJ,190.0,BGR
electricity,31572.0,2004, TJ,20764.0,BGR
electricity,31572.0,2004, TJ,,BGR
electricity,,2004, TJ,20764.0,BGR
electricity,,2004, TJ,,BGR
natural_gas,241.0,2004, TJ,1310.0,BGR
oil_products,1172.0,2004, TJ,1561.0,BGR
solid_biomass,25719.0,2004, TJ,374.0,BGR
electricity,1274.0,2004, TJ,694.0,KHM
oil_products,3472.0,2004, TJ,,KHM
solid_biomass,82343.0,2004, TJ,,KHM
electricity,1972.0,2004, TJ,1702.0,CMR
oil_products,7724.0,2004, TJ,,CMR
solid_biomass,214621.0,2004, TJ,13785.0,CMR
Heat,,2004, TJ,415.0,CAN
coal,1048.0,2004, TJ,,CAN
electricity,543528.0,2004, TJ,349765.0,CAN
natural_gas,585972.0,2004, TJ,462699.0,CAN
oil_products,110981.0,2004, TJ,129809.0,CAN
solid_biomass,78818.0,2004, TJ,,CAN
coal,522.0,2004, TJ,732.0,CHL
electricity,28202.0,2004, TJ,24040.0,CHL
natural_gas,12945.0,2004, TJ,3455.0,CHL
oil_products,39439.0,2004, TJ,10715.0,CHL
solid_biomass,128657.0,2004, TJ,322.0,CHL
Heat,413949.0,2004, TJ,34765.0,CHN
coal,2213124.0,2004, TJ,543248.0,CHN
electricity,858416.0,2004, TJ,393768.0,CHN
electricity,858416.0,2004, TJ,34961.0,CHN
electricity,127267.0,2004, TJ,393768.0,CHN
electricity,127267.0,2004, TJ,34961.0,CHN
natural_gas,235524.0,2004, TJ,113913.0,CHN
oil_products,770107.0,2004, TJ,408849.0,CHN
solid_biomass,7206429.0,2004, TJ,,CHN
Heat,,2004, TJ,,TWN
electricity,3765.0,2004, TJ,115.0,TWN
electricity,3765.0,2004, TJ,91760.0,TWN
electricity,142516.0,2004, TJ,115.0,TWN
electricity,142516.0,2004, TJ,91760.0,TWN
natural_gas,34119.0,2004, TJ,11956.0,TWN
oil_products,60070.0,2004, TJ,42867.0,TWN
solid_biomass,,2004, TJ,10566.0,TWN
coal,2876.0,2004, TJ,,COL
electricity,56851.0,2004, TJ,32662.0,COL
natural_gas,29515.0,2004, TJ,5208.0,COL
oil_products,28671.0,2004, TJ,5540.0,COL
solid_biomass,59327.0,2004, TJ,,COL
electricity,558.0,2004, TJ,,COD
oil_products,236.0,2004, TJ,,COD
solid_biomass,16815.0,2004, TJ,,COD
electricity,10627.0,2004, TJ,7480.0,CRI
oil_products,1368.0,2004, TJ,2477.0,CRI
solid_biomass,10212.0,2004, TJ,,CRI
electricity,3726.0,2004, TJ,2563.0,CIV
oil_products,6219.0,2004, TJ,2160.0,CIV
solid_biomass,140772.0,2004, TJ,16349.0,CIV
Heat,6587.0,2004, TJ,2902.0,HRV
coal,520.0,2004, TJ,173.0,HRV
electricity,21859.0,2004, TJ,14268.0,HRV
electricity,21859.0,2004, TJ,24.0,HRV
electricity,59.0,2004, TJ,14268.0,HRV
electricity,59.0,2004, TJ,24.0,HRV
natural_gas,21519.0,2004, TJ,4733.0,HRV
oil_products,15366.0,2004, TJ,6794.0,HRV
solid_biomass,47061.0,2004, TJ,,HRV
electricity,18036.0,2004, TJ,13309.0,CUB
natural_gas,2031.0,2004, TJ,,CUB
oil_products,22536.0,2004, TJ,,CUB
solid_biomass,32134.0,2004, TJ,1110.0,CUB
electricity,,2004, TJ,,CUW
oil_products,2979.0,2004, TJ,,CUW
electricity,4737.0,2004, TJ,6164.0,CYP
electricity,4737.0,2004, TJ,,CYP
electricity,,2004, TJ,6164.0,CYP
electricity,,2004, TJ,,CYP
oil_products,3700.0,2004, TJ,,CYP
solid_biomass,,2004, TJ,,CYP
Heat,49733.0,2004, TJ,25620.0,CZE
coal,34333.0,2004, TJ,19998.0,CZE
electricity,52290.0,2004, TJ,45360.0,CZE
electricity,52290.0,2004, TJ,20.0,CZE
electricity,65.0,2004, TJ,45360.0,CZE
electricity,65.0,2004, TJ,20.0,CZE
natural_gas,98434.0,2004, TJ,52005.0,CZE
oil_products,2391.0,2004, TJ,676.0,CZE
solid_biomass,48393.0,2004, TJ,2346.0,CZE
electricity,5396.0,2004, TJ,784.0,COD
oil_products,,2004, TJ,,COD
solid_biomass,492896.0,2004, TJ,,COD
Heat,64291.0,2004, TJ,29971.0,DNK
coal,29.0,2004, TJ,,DNK
electricity,37195.0,2004, TJ,37436.0,DNK
electricity,37195.0,2004, TJ,50.0,DNK
electricity,293.0,2004, TJ,37436.0,DNK
electricity,293.0,2004, TJ,50.0,DNK
natural_gas,29857.0,2004, TJ,8717.0,DNK
oil_products,27357.0,2004, TJ,5036.0,DNK
solid_biomass,25175.0,2004, TJ,2521.0,DNK
electricity,13575.0,2004, TJ,5486.0,DOM
electricity,13575.0,2004, TJ,9.0,DOM
electricity,163.0,2004, TJ,5486.0,DOM
electricity,163.0,2004, TJ,9.0,DOM
oil_products,13732.0,2004, TJ,2797.0,DOM
solid_biomass,20141.0,2004, TJ,62.0,DOM
electricity,12657.0,2004, TJ,9054.0,ECU
electricity,12657.0,2004, TJ,100.0,ECU
natural_gas,,2004, TJ,,ECU
oil_products,26531.0,2004, TJ,10110.0,ECU
solid_biomass,13947.0,2004, TJ,,ECU
coal,408.0,2004, TJ,,EGY
electricity,112719.0,2004, TJ,72118.0,EGY
natural_gas,17818.0,2004, TJ,,EGY
oil_products,172683.0,2004, TJ,,EGY
solid_biomass,59450.0,2004, TJ,,EGY
electricity,6296.0,2004, TJ,2253.0,SLV
oil_products,7729.0,2004, TJ,89.0,SLV
solid_biomass,14043.0,2004, TJ,1403.0,SLV
electricity,176.0,2004, TJ,,GNQ
oil_products,623.0,2004, TJ,283.0,GNQ
