consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
natural_gas,8.0,2000, TJ,513.0,BGR
oil_products,676.0,2000, TJ,3915.0,BGR
solid_biomass,20464.0,2000, TJ,405.0,BGR
electricity,723.0,2000, TJ,392.0,KHM
oil_products,2794.0,2000, TJ,,KHM
solid_biomass,78481.0,2000, TJ,,KHM
electricity,1393.0,2000, TJ,1202.0,CMR
oil_products,9963.0,2000, TJ,,CMR
solid_biomass,166961.0,2000, TJ,32280.0,CMR
Heat,,2000, TJ,313.0,CAN
coal,1513.0,2000, TJ,53.0,CAN
electricity,497573.0,2000, TJ,318074.0,CAN
natural_gas,580338.0,2000, TJ,452850.0,CAN
oil_products,136019.0,2000, TJ,55935.0,CAN
solid_biomass,92976.0,2000, TJ,,CAN
coal,1020.0,2000, TJ,734.0,CHL
electricity,22251.0,2000, TJ,16236.0,CHL
natural_gas,10138.0,2000, TJ,2390.0,CHL
oil_products,45543.0,2000, TJ,6690.0,CHL
solid_biomass,124643.0,2000, TJ,24.0,CHL
Heat,232340.0,2000, TJ,18575.0,CHN
coal,1947725.0,2000, TJ,347486.0,CHN
electricity,522702.0,2000, TJ,252637.0,CHN
electricity,522702.0,2000, TJ,23179.0,CHN
electricity,69484.0,2000, TJ,252637.0,CHN
electricity,69484.0,2000, TJ,23179.0,CHN
natural_gas,113242.0,2000, TJ,21905.0,CHN
oil_products,500455.0,2000, TJ,324369.0,CHN
solid_biomass,8241723.0,2000, TJ,,CHN
Heat,,2000, TJ,,TWN
electricity,3138.0,2000, TJ,97.0,TWN
electricity,3138.0,2000, TJ,74347.0,TWN
electricity,124354.0,2000, TJ,97.0,TWN
electricity,124354.0,2000, TJ,74347.0,TWN
natural_gas,29209.0,2000, TJ,8249.0,TWN
oil_products,69098.0,2000, TJ,34085.0,TWN
solid_biomass,,2000, TJ,6007.0,TWN
coal,3134.0,2000, TJ,,COL
electricity,40067.0,2000, TJ,32767.0,COL
natural_gas,21094.0,2000, TJ,3722.0,COL
oil_products,33694.0,2000, TJ,13194.0,COL
solid_biomass,78423.0,2000, TJ,,COL
electricity,421.0,2000, TJ,,COD
oil_products,967.0,2000, TJ,,COD
solid_biomass,11812.0,2000, TJ,,COD
electricity,9028.0,2000, TJ,5630.0,CRI
oil_products,2209.0,2000, TJ,935.0,CRI
solid_biomass,2370.0,2000, TJ,,CRI
electricity,3380.0,2000, TJ,2937.0,CIV
oil_products,6547.0,2000, TJ,1472.0,CIV
solid_biomass,96383.0,2000, TJ,14611.0,CIV
Heat,5409.0,2000, TJ,2489.0,HRV
coal,611.0,2000, TJ,195.0,HRV
electricity,20624.0,2000, TJ,10306.0,HRV
electricity,20624.0,2000, TJ,14.0,HRV
electricity,33.0,2000, TJ,10306.0,HRV
electricity,33.0,2000, TJ,14.0,HRV
natural_gas,16983.0,2000, TJ,3357.0,HRV
oil_products,12712.0,2000, TJ,5425.0,HRV
solid_biomass,39690.0,2000, TJ,,HRV
electricity,15285.0,2000, TJ,11451.0,CUB
natural_gas,2042.0,2000, TJ,,CUB
oil_products,14305.0,2000, TJ,,CUB
solid_biomass,37488.0,2000, TJ,1477.0,CUB
electricity,,2000, TJ,,CUW
oil_products,2790.0,2000, TJ,,CUW
electricity,3798.0,2000, TJ,4503.0,CYP
electricity,3798.0,2000, TJ,,CYP
electricity,,2000, TJ,4503.0,CYP
electricity,,2000, TJ,,CYP
oil_products,3558.0,2000, TJ,,CYP
solid_biomass,,2000, TJ,,CYP
Heat,50800.0,2000, TJ,25686.0,CZE
coal,38044.0,2000, TJ,10088.0,CZE
electricity,49759.0,2000, TJ,41612.0,CZE
electricity,49759.0,2000, TJ,,CZE
electricity,,2000, TJ,41612.0,CZE
electricity,,2000, TJ,,CZE
natural_gas,85800.0,2000, TJ,46211.0,CZE
oil_products,3174.0,2000, TJ,255.0,CZE
solid_biomass,41884.0,2000, TJ,559.0,CZE
electricity,4435.0,2000, TJ,5079.0,COD
oil_products,218.0,2000, TJ,,COD
solid_biomass,427664.0,2000, TJ,,COD
Heat,59367.0,2000, TJ,26444.0,DNK
coal,43.0,2000, TJ,,DNK
electricity,36774.0,2000, TJ,35834.0,DNK
electricity,36774.0,2000, TJ,46.0,DNK
electricity,264.0,2000, TJ,35834.0,DNK
electricity,264.0,2000, TJ,46.0,DNK
natural_gas,27568.0,2000, TJ,6714.0,DNK
oil_products,32429.0,2000, TJ,5610.0,DNK
solid_biomass,17736.0,2000, TJ,2506.0,DNK
electricity,13481.0,2000, TJ,7106.0,DOM
electricity,13481.0,2000, TJ,8.0,DOM
electricity,138.0,2000, TJ,7106.0,DOM
electricity,138.0,2000, TJ,8.0,DOM
oil_products,17411.0,2000, TJ,3183.0,DOM
solid_biomass,21408.0,2000, TJ,62.0,DOM
electricity,10090.0,2000, TJ,7135.0,ECU
electricity,10090.0,2000, TJ,94.0,ECU
natural_gas,,2000, TJ,,ECU
oil_products,22453.0,2000, TJ,9147.0,ECU
solid_biomass,15387.0,2000, TJ,,ECU
coal,374.0,2000, TJ,,EGY
electricity,84765.0,2000, TJ,50436.0,EGY
natural_gas,13816.0,2000, TJ,,EGY
oil_products,154214.0,2000, TJ,,EGY
solid_biomass,56908.0,2000, TJ,,EGY
electricity,4737.0,2000, TJ,1659.0,SLV
oil_products,6655.0,2000, TJ,89.0,SLV
solid_biomass,9999.0,2000, TJ,1320.0,SLV
electricity,82.0,2000, TJ,,GNQ
oil_products,488.0,2000, TJ,236.0,GNQ
solid_biomass,4204.0,2000, TJ,,GNQ
electricity,219.0,2000, TJ,115.0,ERI
oil_products,970.0,2000, TJ,285.0,ERI
solid_biomass,16250.0,2000, TJ,721.0,ERI
Heat,15755.0,2000, TJ,3773.0,EST
coal,1241.0,2000, TJ,231.0,EST
electricity,5277.0,2000, TJ,5043.0,EST
natural_gas,1768.0,2000, TJ,446.0,EST
oil_products,872.0,2000, TJ,2218.0,EST
solid_biomass,13888.0,2000, TJ,366.0,EST
coal,37.0,2000, TJ,,SWZ
electricity,615.0,2000, TJ,248.0,SWZ
oil_products,665.0,2000, TJ,47.0,SWZ
solid_biomass,19290.0,2000, TJ,,SWZ
electricity,1872.0,2000, TJ,1216.0,ETH
oil_products,7142.0,2000, TJ,649.0,ETH
solid_biomass,787527.0,2000, TJ,7484.0,ETH
Heat,53532.0,2000, TJ,31401.0,FIN
coal,473.0,2000, TJ,82.0,FIN
electricity,62787.0,2000, TJ,47833.0,FIN
electricity,16.0,2000, TJ,47833.0,FIN
natural_gas,938.0,2000, TJ,1129.0,FIN
oil_products,30839.0,2000, TJ,14185.0,FIN
solid_biomass,39177.0,2000, TJ,2719.0,FIN
Heat,,2000, TJ,,FRA
coal,15705.0,2000, TJ,10791.0,FRA
electricity,463392.0,2000, TJ,382726.0,FRA
electricity,463392.0,2000, TJ,,FRA
electricity,5930.0,2000, TJ,382726.0,FRA
electricity,5930.0,2000, TJ,,FRA
