date,country.value,NY.GDP.MKTP.PP.CD,SP.POP.TOTL,SP.RUR.TOTL,SP.URB.TOTL
1981,Libya,,3621486,1016169,2605317
1982,Libya,,3724765,998070,2726695
1983,Libya,,3718961,954518,2764443
1984,Libya,,3773633,931227,2842406
1985,Libya,,3898745,926620,2972125
1986,Libya,,4017403,918714,3098689
1987,Libya,,4129739,907768,3221971
1988,Libya,,4237755,894555,3343200
1989,Libya,,4342920,879680,3463240
1990,Libya,76336325963.3993,4445239,863428,3581811
1991,Libya,91272573963.4226,4544400,846031,3698369
1992,Libya,90820566162.166,4640352,827788,3812564
1993,Libya,89474543885.2246,4733045,809010,3924035
1994,Libya,93153107854.474,4822037,789947,4032090
1995,Libya,92994492811.5631,4906843,770864,4135979
1996,Libya,96717953734.5572,4987393,752101,4235292
1997,Libya,103514332832.99,5064639,734150,4330489
1998,Libya,100959286915.705,5140704,717645,4423059
1999,Libya,103155520707.494,5218038,703223,4514815
2000,Libya,109373537683.331,5305021,692260,4612761
2001,Libya,109864797004.836,5403639,685211,4718428
2002,Libya,110502228282.495,5508410,681632,4826778
2003,Libya,127350867123.263,5619398,681858,4937540
2004,Libya,136610171685.976,5736693,686271,5050422
2005,Libya,157618648440.93,5858798,695101,5163697
2006,Libya,173041361685.136,5980211,708060,5272151
2007,Libya,188802016681.796,6104380,723001,5381379
2008,Libya,192127838331.509,6235430,739058,5496372
2009,Libya,184806729196.853,6366686,755434,5611252
2010,Libya,196456261301.186,6497839,772092,5725747
2011,Libya,99575929952.2947,6343203,755029,5588174
2012,Libya,165767103868.621,6179328,737021,5442307
2013,Libya,133349219556.353,6304628,753709,5550919
2014,Libya,112538152127.142,6427252,770357,5656895
2015,Libya,116940831227.105,6531819,795843,5735976
2016,Libya,112487606548.722,6632126,808058,5824068
2017,Libya,121473194597.018,6738770,821006,5917764
2018,Libya,129305467689.061,6849055,834319,6014736
2019,Libya,112565780546.273,6951033,846496,6104537
2020,Libya,77180930238.7107,7045399,857578,6187821
2021,Libya,90199384483.2022,7135175,867887,6267288
2022,Libya,88610007105.7389,7223805,877793,6346012
2023,Libya,101162038920.033,7305659,886562,6419097
2024,Libya,105576741546.273,7381023,894181,6486842
2025,Libya,,,,
