strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value
PFLO:ALL,0,libya,7,pop_unimproved_rural,299091.209054372,299091.209054372,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:ALL,0,libya,8,pop_unimproved_rural,294340.07849347586,294340.07849347586,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:ALL,0,libya,9,pop_unimproved_rural,289474.71138817567,289474.71138817567,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:ALL,0,libya,10,pop_unimproved_rural,284494.6292986252,284494.6292986252,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:ALL,0,libya,11,pop_unimproved_rural,279403.9680850541,279403.9680850541,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:ALL,0,libya,12,pop_unimproved_rural,274197.3821081051,274197.3821081051,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:ALL,0,libya,13,pop_unimproved_rural,268873.6138056334,262620.739065968,-6252.874739665363,cb:wali:technical_cost:sanitation:unimp_rural,40643.68580782486
PFLO:ALL,0,libya,14,pop_unimproved_rural,263432.16374222044,251179.50496351236,-12252.658778708079,cb:wali:technical_cost:sanitation:unimp_rural,79642.28206160251
PFLO:ALL,0,libya,15,pop_unimproved_rural,257873.3363345572,239882.17333447223,-17991.163000084984,cb:wali:technical_cost:sanitation:unimp_rural,116942.5595005524
PFLO:ALL,0,libya,16,pop_unimproved_rural,252198.1693581482,228737.87453413423,-23460.29482401398,cb:wali:technical_cost:sanitation:unimp_rural,152491.91635609086
PFLO:ALL,0,libya,17,pop_unimproved_rural,246408.50817484534,217756.35606149153,-28652.152113353804,cb:wali:technical_cost:sanitation:unimp_rural,186238.98873679974
PFLO:ALL,0,libya,18,pop_unimproved_rural,240507.00775237803,206947.89039158082,-33559.117360797216,cb:wali:technical_cost:sanitation:unimp_rural,218134.26284518192
PFLO:ALL,0,libya,19,pop_unimproved_rural,234496.89066280678,196322.9782293268,-38173.91243347997,cb:wali:technical_cost:sanitation:unimp_rural,248130.4308176198
PFLO:ALL,0,libya,20,pop_unimproved_rural,228381.51040518517,185891.9270739876,-42489.58333119756,cb:wali:technical_cost:sanitation:unimp_rural,276182.2916527841
PFLO:ALL,0,libya,21,pop_unimproved_rural,222164.57881309596,175665.01580570388,-46499.56300739208,cb:wali:technical_cost:sanitation:unimp_rural,302247.1595480485
PFLO:ALL,0,libya,22,pop_unimproved_rural,215849.9307975891,165652.27247256794,-50197.658325021155,cb:wali:technical_cost:sanitation:unimp_rural,326284.7791126375
PFLO:ALL,0,libya,23,pop_unimproved_rural,209441.20358367465,155863.22127157188,-53577.98231210277,cb:wali:technical_cost:sanitation:unimp_rural,348256.88502866804
