sector,subsector,category,ID,Gas,2017,2018,2019,2020,2021,2022,2023,Code
1 - Energy,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels:CH4,CH4,15.69643283,17.49808193,19.13568651,17.01589047,19.00004797,17.51796611,19.19391877,LBY
1 - Energy,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels:CO2,CO2,6.382779458,7.115399984,7.781313635,6.9193222,7.726157734,7.123485666,7.804993132,LBY
1 - Energy,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels,1.B - Fugitive emissions from fuels:N2O,N2O,0.023787713,0.026518085,0.028999851,0.025787331,0.028794293,0.02654822,0.029088101,LBY
2 - Industrial Processes and Product Use,2.A - Mineral Industry,2.A - Mineral Industry,2.A - Mineral Industry:CO2,CO2,1.244,1.367,1.282,1.331,1.525,1.698,1.51,LBY
2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,2.B - Chemical Industry:CH4,CH4,0.00033546,0.000208742,0.000192042,4.57E-05,0.000333496,0.000300588,0.000349213,LBY
2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,2.B - Chemical Industry:CO2,CO2,0.241982262,0.150574614,0.138528645,0.032949269,0.24056509,0.216827445,0.251902472,LBY
2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,2.B - Chemical Industry:HFCS,HFCS,0.405795485,0.252508171,0.232307518,0.055254729,0.403418937,0.363611767,0.422431317,LBY
2 - Industrial Processes and Product Use,2.B - Chemical Industry,2.B - Chemical Industry,2.B - Chemical Industry:N2O,N2O,0.034886792,0.021708473,0.019971795,0.004750325,0.034682477,0.031260201,0.036316998,LBY
2 - Industrial Processes and Product Use,2.C - Metal Industry,2.C - Metal Industry,2.C - Metal Industry:CH4,CH4,0.000417182,0.00041977,0.00058747,0.000523806,0.000605069,0.000686331,0.001067798,LBY
2 - Industrial Processes and Product Use,2.C - Metal Industry,2.C - Metal Industry,2.C - Metal Industry:CO2,CO2,0.300931536,0.302798357,0.423768355,0.377844559,0.436462737,0.495080915,0.770250322,LBY
2 - Industrial Processes and Product Use,2.C - Metal Industry,2.C - Metal Industry,2.C - Metal Industry:HFCS,HFCS,0.504651282,0.507781873,0.710644175,0.633631635,0.731932195,0.830232754,1.29168188,LBY
2 - Industrial Processes and Product Use,2.D - Non-Energy Products from Fuels and Solvent Use,2.D - Non-Energy Products from Fuels and Solvent Use,2.D - Non-Energy Products from Fuels and Solvent Use:CO2,CO2,0.35,0.39,0.32,0.22,0.29,0.27,0.27,LBY
2 - Industrial Processes and Product Use,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances:HFCS,HFCS,1.06,1.0535,1.09,1.131,1.0915,1.119,1.052,LBY
2 - Industrial Processes and Product Use,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances,2.F - Product Uses as Substitutes for Ozone Depleting Substances:PFCS,PFCS,1.06,1.0535,1.09,1.131,1.0915,1.119,1.052,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation:CH4,CH4,1.634488579,1.699230662,1.741064008,1.685286213,1.680306053,1.702218758,1.724131463,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation,3.A.1 - Enteric Fermentation:N2O,N2O,0.006511421,0.006769338,0.006935992,0.006713787,0.006693947,0.006781242,0.006868537,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.A.2 - Manure Management,3.A.2 - Manure Management,3.A.2 - Manure Management:CH4,CH4,0.64,0.832,0.678,0.661,0.661,0.665,0.678,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.B.1 - Forest land,3.B.1 - Forest land,3.B.1 - Forest land:CO2,CO2,-0.653036222,-0.783643466,-0.94037216,-1.128446592,-1.35413591,-1.624963092,-1.94995571,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Burning,3.C.1 - Burning,3.C.1 - Burning:CH4,CH4,0.007968256,0.008964288,0.00996032,0.00996032,0.008964288,0.008964288,0.007968256,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Burning,3.C.1 - Burning,3.C.1 - Burning:N2O,N2O,3.17E-05,3.57E-05,3.97E-05,3.97E-05,3.57E-05,3.57E-05,3.17E-05,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.3 - Urea application,3.C.3 - Urea application,3.C.3 - Urea application:CO2,CO2,0.027,0.013,0.021,0.008,0.001,0.004,1.00E-04,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.4 - Direct N2O Emissions from managed soils,3.C.4 - Direct N2O Emissions from managed soils,3.C.4 - Direct N2O Emissions from managed soils:N2O,N2O,0.65,0.672,0.613,0.664,0.657,0.665,0.655,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.5 - Indirect N2O Emissions from managed soils,3.C.5 - Indirect N2O Emissions from managed soils,3.C.5 - Indirect N2O Emissions from managed soils:N2O,N2O,0.26,0.24,0.231,0.24,0.239,0.242,0.246,LBY
"3 - Agriculture, Forestry, and Other Land Use",3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management:N2O,N2O,0.099,0.108,0.11,0.108,0.108,0.113,0.111,LBY
4 - Waste,4.A - Solid Waste Disposal,4.A - Solid Waste Disposal,4.A - Solid Waste Disposal:CH4,CH4,0.549,0.587,0.624,0.66,0.695,0.729,0.762,LBY
4 - Waste,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge:CH4,CH4,0.451573515,0.457946528,0.434275336,0.438827488,0.44337964,0.447931793,0.451573515,LBY
4 - Waste,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge,4.D - Wastewater Treatment and Discharge:N2O,N2O,0.044426485,0.045053472,0.042724664,0.043172512,0.04362036,0.044068207,0.044426485,LBY
