sector,subsector,category,ID,Gas,2017,2018,2019,2020,2021,2022,2023,Code
1 - Energy,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation:CH4,CH4,0.018236819,0.018825508,0.019433767,0.01833937,0.020423265,0.021731375,0.025472522,LBY
1 - Energy,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation:CO2,CO2,11.61939864,11.99447538,12.38202143,11.68473781,13.01246957,13.84591802,16.22955067,LBY
1 - Energy,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation,1.A.1 - Electricity and Heat Generation:N2O,N2O,0.010364542,0.010699112,0.011044804,0.010422825,0.011607166,0.012350604,0.014476813,LBY
1 - Energy,1.A.1 - Fuel Production,1.A.1 - Fuel Production,1.A.1 - Fuel Production:CH4,CH4,0.018236819,0.018825508,0.019433767,0.01833937,0.020423265,0.021731375,0.025472522,LBY
1 - Energy,1.A.1 - Fuel Production,1.A.1 - Fuel Production,1.A.1 - Fuel Production:CO2,CO2,11.61939864,11.99447538,12.38202143,11.68473781,13.01246957,13.84591802,16.22955067,LBY
1 - Energy,1.A.1 - Fuel Production,1.A.1 - Fuel Production,1.A.1 - Fuel Production:N2O,N2O,0.010364542,0.010699112,0.011044804,0.010422825,0.011607166,0.012350604,0.014476813,LBY
1 - Energy,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction:CH4,CH4,0.001251874,0.001360552,0.001488311,0.00130248,0.001885692,0.001717282,0.001642618,LBY
1 - Energy,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction:CO2,CO2,1.505686515,1.636398863,1.790060708,1.56655257,2.268008913,2.065454663,1.975652286,LBY
1 - Energy,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction,1.A.2 - Manufacturing Industries and Construction:N2O,N2O,0.002061611,0.002240584,0.002450981,0.00214495,0.003105395,0.002828055,0.002705096,LBY
1 - Energy,1.A.3 - Transport,1.A.3 - Transport,1.A.3 - Transport:CH4,CH4,0.209495711,0.202658922,0.212427275,0.204182912,0.237626027,0.26662417,0.247680127,LBY
1 - Energy,1.A.3 - Transport,1.A.3 - Transport,1.A.3 - Transport:CO2,CO2,19.40674144,18.77341207,19.67830837,18.91458766,22.01260751,24.69886523,22.94397424,LBY
1 - Energy,1.A.3 - Transport,1.A.3 - Transport,1.A.3 - Transport:N2O,N2O,0.178762825,0.172928989,0.181264331,0.174229411,0.202766442,0.227510576,0.211345613,LBY
1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,1.A.4 - Other Sectors:CH4,CH4,0.051889491,0.052451471,0.053450546,0.052201702,0.058258598,0.060256749,0.064253052,LBY
1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,1.A.4 - Other Sectors:CO2,CO2,0.773161365,0.781534954,0.796421334,0.777813359,0.868062038,0.897834799,0.957380319,LBY
1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,1.A.4 - Other Sectors:N2O,N2O,0.005949144,0.006013575,0.006128119,0.005984939,0.006679364,0.006908452,0.00736663,LBY
