subsector_ssp,sector,subsector,category,aggregation_category,gas,ID,vars,ids,LBY
inen,1 - Energy,1.A.2.f - Cement (Energy),1.A.2.f - Cement (Energy),Industrial Combustion,CH4,1.A.2.f - Cement (Energy):CH4,emission_co2e_ch4_inen_cement,11:1.A.2.f - Cement (Energy):CH4,0.000607768623
inen,1 - Energy,1.A.2.f - Cement (Energy),1.A.2.f - Cement (Energy),Industrial Combustion,CO2,1.A.2.f - Cement (Energy):CO2,emission_co2e_co2_inen_nbmass_cement,12:1.A.2.f - Cement (Energy):CO2,0.730991345931
inen,1 - Energy,1.A.2.f - Cement (Energy),1.A.2.f - Cement (Energy),Industrial Combustion,N2O,1.A.2.f - Cement (Energy):N2O,emission_co2e_n2o_inen_cement,13:1.A.2.f - Cement (Energy):N2O,0.001000885446
trns,1 - Energy,1.A.3 - Transport,1.A.3 - Transport,Transportation,CH4,1.A.3 - Transport:CH4,emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_water_borne:emission_co2e_ch4_trns_human_powered,14:1.A.3 - Transport:CH4,0.247680127392
trns,1 - Energy,1.A.3 - Transport,1.A.3 - Transport,Transportation,CO2,1.A.3 - Transport:CO2,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_public:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_water_borne:emission_co2e_co2_trns_human_powered,15:1.A.3 - Transport:CO2,22.943974236687
trns,1 - Energy,1.A.3 - Transport,1.A.3 - Transport,Transportation,N2O,1.A.3 - Transport:N2O,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_water_borne:emission_co2e_n2o_trns_human_powered,16:1.A.3 - Transport:N2O,0.211345612518
scoe,1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,Other  Combustion,CH4,1.A.4 - Other Sectors:CH4,emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_residential:emission_co2e_ch4_inen_agriculture_and_livestock,17:1.A.4 - Other Sectors:CH4,0.064253051583
scoe,1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,Other  Combustion,CO2,1.A.4 - Other Sectors:CO2,emission_co2e_co2_scoe_nbmass_commercial_municipal:emission_co2e_co2_scoe_nbmass_residential:emission_co2e_co2_inen_nbmass_agriculture_and_livestock,18:1.A.4 - Other Sectors:CO2,0.957380318895
scoe,1 - Energy,1.A.4 - Other Sectors,1.A.4 - Other Sectors,Other  Combustion,N2O,1.A.4 - Other Sectors:N2O,emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_residential:emission_co2e_n2o_inen_agriculture_and_livestock,19:1.A.4 - Other Sectors:N2O,0.007366629522
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Fugitive,1.B - Fugitive emissions from fuels - Fugitive,Fugitive Emissions,CH4,1.B - Fugitive emissions from fuels - Fugitive:CH4,emission_co2e_ch4_fgtv_dtp_fuel_crude:emission_co2e_ch4_fgtv_dtp_fuel_oil,20:1.B - Fugitive emissions from fuels - Fugitive:CH4,4.0650112
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Fugitive,1.B - Fugitive emissions from fuels - Fugitive,Fugitive Emissions,CO2,1.B - Fugitive emissions from fuels - Fugitive:CO2,emission_co2e_co2_fgtv_dtp_fuel_coal:emission_co2e_co2_fgtv_dtp_fuel_crude:emission_co2e_co2_fgtv_dtp_fuel_oil,21:1.B - Fugitive emissions from fuels - Fugitive:CO2,1.0162528
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Venting,1.B - Fugitive emissions from fuels - Venting,Fugitive Emissions,CH4,1.B - Fugitive emissions from fuels - Venting:CH4,emission_co2e_ch4_fgtv_venting_fuel_crude:emission_co2e_ch4_fgtv_venting_fuel_coal:emission_co2e_ch4_fgtv_venting_fuel_oil,22:1.B - Fugitive emissions from fuels - Venting:CH4,10.973368
fgtv,1 - Energy,1.B - Fugitive emissions from fuels - Venting,1.B - Fugitive emissions from fuels - Venting,Fugitive Emissions,CO2,1.B - Fugitive emissions from fuels - Venting:CO2,emission_co2e_co2_fgtv_venting_fuel_coal:emission_co2e_co2_fgtv_venting_fuel_crude:emission_co2e_co2_fgtv_venting_fuel_oil,23:1.B - Fugitive emissions from fuels - Venting:CO2,4.702872
