year,strategy_id,strategy_name,chart,metric,facility_type,value,units
2037,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,18.721214149418724,Mt CO2e
2037,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,11.784731417348624,Mt CO2e
2037,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,3.877800817198919,Mt CO2e
2037,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.38374638396452,Mt CO2e
2038,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,19.647540356044743,Mt CO2e
2038,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,11.215906406124901,Mt CO2e
2038,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,3.7088378940121682,Mt CO2e
2038,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.57228465618006,Mt CO2e
2039,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,20.580862635453077,Mt CO2e
2039,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,10.611774706523926,Mt CO2e
2039,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,3.5296588122026593,Mt CO2e
2039,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.72229615417791,Mt CO2e
2040,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,21.521206784071865,Mt CO2e
2040,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,9.975681324778964,Mt CO2e
2040,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,3.3412288805306494,Mt CO2e
2040,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.83811698937973,Mt CO2e
2041,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,22.468423932406992,Mt CO2e
2041,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,9.311182136289208,Mt CO2e
2041,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,3.1445764983464617,Mt CO2e
2041,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.9241825670409,Mt CO2e
2042,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,23.42218413749737,Mt CO2e
2042,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,8.62195249380598,Mt CO2e
2042,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,2.9407660539577787,Mt CO2e
2042,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,34.98490268525937,Mt CO2e
2043,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,24.381982907960637,Mt CO2e
2043,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,7.911705015387392,Mt CO2e
2043,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,2.7308734980838456,Mt CO2e
2043,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.02456142143012,Mt CO2e
2044,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,25.347159145985938,Mt CO2e
2044,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,7.184111743247065,Mt CO2e
2044,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,2.5159632409072223,Mt CO2e
2044,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.04723413013849,Mt CO2e
2045,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,26.316922342363466,Mt CO2e
2045,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,6.4427260565308515,Mt CO2e
2045,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,2.2970650946801516,Mt CO2e
2045,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.056713493572744,Mt CO2e
2046,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,27.290389699234133,Mt CO2e
2046,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,5.690901748923949,Mt CO2e
2046,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,2.0751505285517924,Mt CO2e
2046,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.05644197670814,Mt CO2e
2047,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,28.266633937867446,Mt CO2e
2047,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,4.931706749558808,Mt CO2e
2047,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,1.851107517637475,Mt CO2e
2047,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.04944820506199,Mt CO2e
2048,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,29.24474261937551,Mt CO2e
2048,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,4.167829083692828,Mt CO2e
2048,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,1.6257133126875294,Mt CO2e
2048,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.03828501575413,Mt CO2e
2049,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,30.223889836186007,Mt CO2e
2049,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,3.401472841401742,Mt CO2e
2049,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,1.3996045018995016,Mt CO2e
2049,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.024967179485515,Mt CO2e
2050,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,31.203421124813225,Mt CO2e
2050,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,2.6342421529064106,Mt CO2e
2050,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,1.1732438003572945,Mt CO2e
2050,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,35.01090707807519,Mt CO2e
2023,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,6.267337254285718,Mt CO2e
2023,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,15.684255338292829,Mt CO2e
2023,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,5.076407407421452,Mt CO2e
2023,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.028,Mt CO2e
2024,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,5.908269987067734,Mt CO2e
2024,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,16.4464880789152,Mt CO2e
2024,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.955835864645663,Mt CO2e
2024,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.31059393062872,Mt CO2e
2025,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,5.549388931135338,Mt CO2e
2025,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,17.20564730361481,Mt CO2e
2025,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.834544397272108,Mt CO2e
2025,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.589580632022503,Mt CO2e
2026,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,5.190821725747119,Mt CO2e
2026,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,17.95504202561919,Mt CO2e
2026,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.711031795512155,Mt CO2e
2026,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,27.856895546878825,Mt CO2e
2027,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,4.833168816621668,Mt CO2e
2027,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,18.68625260649077,Mt CO2e
2027,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.583662281115687,Mt CO2e
2027,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.103083704228588,Mt CO2e
2028,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,4.477545582846671,Mt CO2e
2028,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,19.389744825797855,Mt CO2e
2028,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.450822133335095,Mt CO2e
2028,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.318112541980177,Mt CO2e
2029,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,4.125581470015337,Mt CO2e
2029,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,20.055505412363598,Mt CO2e
2029,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.311057338476768,Mt CO2e
2029,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.492144220856346,Mt CO2e
2030,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,3.779379566930261,Mt CO2e
2030,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,20.67371462016126,Mt CO2e
2030,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.163190113881732,Mt CO2e
2030,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.616284300973973,Mt CO2e
2031,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,3.4414350220946983,Mt CO2e
2031,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,21.235449307264982,Mt CO2e
2031,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,4.006411985803366,Mt CO2e
2031,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.683296315163837,Mt CO2e
2032,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,3.1145183970862456,Mt CO2e
2032,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,21.733417357035616,Mt CO2e
2032,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,3.8403715534752445,Mt CO2e
2032,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.68830730759796,Mt CO2e
2033,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,2.8014338031395694,Mt CO2e
2033,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.161995670584346,Mt CO2e
2033,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,3.6650883849242506,Mt CO2e
2033,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.628517858649083,Mt CO2e
2034,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,2.5047788360387666,Mt CO2e
2034,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.51728633881808,Mt CO2e
2034,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,3.480874675466101,Mt CO2e
2034,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,28.502939850323926,Mt CO2e
2035,6004,Unconditional NDC (ZRF),fgtv_components,flar_emis_mt_co2e,All,2.2267051911668485,Mt CO2e
2035,6004,Unconditional NDC (ZRF),fgtv_components,vent_ch4_mt_co2e,All,22.797193856498108,Mt CO2e
2035,6004,Unconditional NDC (ZRF),fgtv_components,dtp_ch4_mt_co2e,All,3.2882647944816012,Mt CO2e
