sector,subsector,transformer_code,transformer_name,transformer_description,transformer_unit,maximum_magnitude,strategy_PFLO_BAU,strategy_PFLO_CONDITIONAL,strategy_PFLO_UNCONDITIONAL,year,transformation_code,transformation_description_long,transformation_name_stakeholder,Sector..output.,Subsector..output.,Example.government.policies
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
0.0,0.0,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,AGRC:DEC_LOSSES_SUPPLY_CHAIN,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",Reduce supply chain losses,AFOLU,Agriculture,
