Country,Strategy_id,Strategy,Sector,Direct_Jobs,Indirect_Jobs,Total_Jobs,ssp_sector,ssp_transformation_name
LBY,1006,AGRC: Improve crop productivity with partial land use reallocation,Transport Equipment,0.0,20.75,20.75,AGRC, Improve crop productivity with partial land use reallocation
LBY,1006,AGRC: Improve crop productivity with partial land use reallocation,Wholesale Trade,0.0,660.31,660.31,AGRC, Improve crop productivity with partial land use reallocation
LBY,1006,AGRC: Improve crop productivity with partial land use reallocation,Wood and Paper,0.0,59.7,59.7,AGRC, Improve crop productivity with partial land use reallocation
LBY,1007,AGRC: Improve rice management,Agriculture,974.15,19.45,993.6,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Construction,0.0,88.3,88.3,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,"Education, Health and Other Services",0.0,164.27,164.27,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Electrical and Machinery,307.04,71.87,378.92,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,"Electricity, Gas and Water",0.0,414.31,414.31,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Financial Intermediation and Business Activities,0.0,942.14,942.14,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Fishing,0.0,8.16,8.16,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Food & Beverages,0.0,57.71,57.71,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Hotels and Restaurants,0.0,55.88,55.88,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Maintenance and Repair,0.0,18.57,18.57,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Metal Products,0.0,63.22,63.22,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Mining and Quarrying,0.0,28.65,28.65,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Other Manufacturing,0.0,13.65,13.65,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Others,0.0,3.02,3.02,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,"Petroleum, Chemical and Non-Metallic Mineral Products",425.74,40.07,465.81,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Post and Telecommunications,0.0,131.97,131.97,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Private Households,0.0,0.05,0.05,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Public Administration,0.0,6.81,6.81,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Re-export & Re-import,0.0,0.0,0.0,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Recycling,0.0,0.63,0.63,AGRC, Improve rice management
LBY,1007,AGRC: Improve rice management,Retail Trade,0.0,134.58,134.58,AGRC, Improve rice management
